iucn_sid,sciname,year,cat,cat_score,eval_yr,rgn_id,rgn_name,comname,ico_gl,ico_rgn_id,presence,
3897,Caretta caretta,1992,VU,0.4,1990,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,1993,VU,0.4,1990,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,1994,VU,0.4,1994,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,1995,VU,0.4,1994,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,1996,EN,0.6,1996,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,1997,EN,0.6,1996,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,1998,EN,0.6,1996,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,1999,EN,0.6,1996,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,2.00E+03,EN,0.6,1996,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,2001,EN,0.6,1996,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,2002,EN,0.6,1996,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,2003,EN,0.6,1996,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,2004,EN,0.6,1996,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,2005,EN,0.6,1996,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,2006,EN,0.6,1996,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,2007,EN,0.6,1996,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,2008,EN,0.6,1996,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,2009,EN,0.6,1996,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,2010,EN,0.6,1996,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,2011,EN,0.6,1996,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,2012,EN,0.6,1996,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,2013,EN,0.6,1996,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,2014,EN,0.6,1996,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,2015,VU,0.4,2015,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,2016,VU,0.4,2015,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,2017,VU,0.4,2017,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
3897,Caretta caretta,2018,VU,0.4,2017,147,French Polynesia,Loggerhead Turtle,TRUE,NA,Extant,
4592,Cheilinus undulatus,1992,VU,0.4,NA,147,French Polynesia,"Humphead wrasse, Napoleon Wrasse",TRUE,NA,Extant,
4592,Cheilinus undulatus,1993,VU,0.4,NA,147,French Polynesia,"Humphead wrasse, Napoleon Wrasse",TRUE,NA,Extant,
4592,Cheilinus undulatus,1994,VU,0.4,NA,147,French Polynesia,"Humphead wrasse, Napoleon Wrasse",TRUE,NA,Extant,
